STOREID,FASHION,LEISURE,STRETCH,ORIGINAL,SALESTOT
1,182,1528,496,2203,4409
2,129,2247,296,1890,4562
3,107,1652,267,2342,4368
4,117,1744,419,2119,4399
5,110,1736,755,1781,4382
6,79,1637,613,2138,4467
7,73,2484,468,1216,4241
8,64,2675,209,1504,4452
9,100,1795,561,1933,4389
10,126,1789,180,2405,4500
11,37,1528,41,1752,3358
12,106,1930,409,2064,4509
13,105,1969,643,1670,4387
14,1,1060,234,955,2250
15,78,2390,406,1428,4302
16,78,1631,3,1634,3346
17,139,1747,486,1997,4369
18,61,1918,303,2220,4502
19,68,1957,587,1812,4424
20,127,2175,319,1747,4368
21,102,2442,481,1364,4389
22,65,2226,188,1782,4261
23,87,2128,327,1813,4355
24,144,2024,503,1785,4456
25,68,1989,595,1881,4533
26,96,1717,863,1843,4519
27,78,2225,454,1693,4450
28,86,1543,713,2041,4383
29,69,1838,333,2090,4330
30,73,1746,274,2249,4342
31,66,2243,254,1949,4512
32,67,1726,269,2442,4504
33,87,2000,340,2056,4483
34,99,1792,500,2002,4393
35,97,2089,461,1733,4380
36,52,2589,279,1480,4400
37,76,1215,828,2312,4431
38,83,1503,13,1836,3435
39,91,1819,270,2276,4456
40,161,1613,709,2005,4488
41,45,1530,791,2056,4422
42,85,1610,632,2072,4399
43,112,2101,186,1940,4339
44,54,1864,768,1786,4472
45,73,2152,348,1835,4408
46,126,1376,800,2179,4481
47,65,1717,6,1584,3372
48,147,1932,382,1870,4331
49,46,1846,485,2033,4410
50,92,2649,162,1510,4413
51,83,2152,534,1649,4418
52,87,2014,787,1507,4395
53,50,1624,380,2286,4340
54,101,2047,468,1878,4494
55,127,1811,317,2023,4278
56,113,1943,367,1952,4375
57,91,2026,394,1922,4433
58,158,2532,258,1478,4426
59,109,1556,719,2010,4394
60,123,1472,1118,1627,4340
61,104,2232,339,1686,4361
62,2,1009,249,992,2252
63,67,1409,884,2038,4398
64,129,2528,304,1540,4501
65,61,1184,426,2715,4386
66,136,2256,307,1658,4357
67,99,1768,643,2004,4514
68,39,1874,659,1754,4326
69,105,1888,254,2105,4352
70,1,1057,227,863,2148
71,84,1698,616,2016,4414
72,66,2019,543,1803,4431
73,93,2525,371,1552,4541
74,102,2248,430,1579,4359
75,77,1544,24,1765,3410
76,81,2564,459,1316,4420
77,197,2055,339,1793,4384
78,76,1394,726,2226,4422
79,52,1959,730,1647,4388
80,106,2418,332,1570,4426
81,122,1369,862,2054,4407
82,63,2146,338,1766,4313
83,128,2093,384,1789,4394
84,59,1798,326,2216,4399
85,41,2049,700,1550,4340
86,67,1918,420,1917,4322
87,135,2446,294,1521,4396
88,109,2165,333,1715,4322
89,63,1813,6,1468,3350
90,89,2116,449,1603,4257
91,61,1656,909,1840,4466
92,65,2597,356,1320,4338
93,4,672,378,1157,2211
94,79,2027,723,1476,4305
95,59,1443,21,1939,3462
96,69,2006,534,1676,4285
97,158,1896,674,1627,4355
98,58,1764,704,1793,4319
99,61,1942,408,1980,4391
100,122,1826,442,2007,4397
101,140,2146,455,1573,4314
102,111,1978,24,1253,3366
103,91,1752,706,1859,4408
104,108,1244,425,2570,4347
105,52,1829,711,1888,4480
106,106,2643,273,1324,4346
107,122,1661,518,2083,4384
108,56,1358,17,1954,3385
109,82,1478,1044,1833,4437
110,79,1945,354,2098,4476
111,81,2000,574,1656,4311
112,90,2025,444,1898,4457
113,48,1442,703,2215,4408
114,88,2016,466,1891,4461
115,72,1872,130,1245,3319
116,77,2105,750,1502,4434
117,79,2519,300,1421,4319
118,83,2817,307,1223,4430
119,62,1813,28,1352,3255
120,110,2013,284,1987,4394
121,78,1616,51,1681,3426
122,104,1695,3,1527,3329
123,114,1441,700,2190,4445
124,127,1804,377,2067,4375
125,83,1736,650,1937,4406
126,129,1792,11,1490,3422
127,77,1701,466,2151,4395
128,83,2070,447,1874,4474
129,92,2169,694,1426,4381
130,106,2468,289,1467,4330
131,105,2159,387,1807,4458
132,135,2075,504,1870,4584
133,53,2110,189,2103,4455
134,64,2064,385,1963,4476
135,95,1903,281,2194,4473
136,101,1793,455,2139,4488
137,98,1475,628,2177,4378
138,101,1510,593,2106,4310
139,68,1771,413,2230,4482
140,106,2196,414,1680,4396
141,109,2317,429,1605,4460
142,105,1627,400,2275,4407
143,170,2219,261,1686,4336
144,84,1714,313,2224,4335
145,74,1401,698,2130,4303
146,67,1365,634,2286,4352
147,111,1880,264,2110,4365
148,91,1406,409,2450,4356
149,116,1587,518,2112,4333
150,168,2407,432,1420,4427
151,83,2359,319,1723,4484
152,60,1703,28,1632,3423
153,86,1817,460,2037,4400
154,98,2149,484,1610,4341
155,131,2042,426,1788,4387
156,94,1637,718,2068,4517
157,49,2086,277,1951,4363
158,57,1866,528,1870,4321
159,128,2041,324,1934,4427
160,48,1604,27,1771,3450
161,76,2104,461,1827,4468
162,70,1998,442,1883,4393
163,67,2035,534,1810,4446
164,62,2316,282,1845,4505
165,124,1906,261,2051,4342
166,115,2279,358,1729,4481
167,61,2123,562,1677,4423
168,125,1978,695,1580,4378
169,89,1351,332,2468,4240
170,70,1384,527,2390,4371
171,76,2189,476,1618,4359
172,117,1057,1015,2169,4358
173,64,1655,667,2072,4458
174,67,2106,478,1609,4260
175,64,2037,412,1953,4466
176,5,683,391,1143,2222
177,81,1955,552,1859,4447
178,56,1934,385,2056,4431
179,75,1664,351,2326,4416
180,112,1918,625,1813,4468
181,123,1580,371,2263,4337
182,101,1790,376,2158,4425
183,114,2361,375,1576,4426
184,115,2392,398,1559,4464
185,70,1432,655,2010,4167
186,90,1944,783,1623,4440
187,139,1630,684,1862,4315
188,127,1763,36,1562,3488
189,95,2286,610,1464,4455
190,59,1852,543,2017,4471
191,136,1726,447,2005,4314
192,129,1940,355,2006,4430
193,95,1675,456,2178,4404
194,76,1777,662,1911,4426
195,102,1893,319,2149,4463
196,73,1692,521,2096,4382
197,44,1602,760,2001,4407
198,67,1616,20,1707,3410
199,108,1356,433,2521,4418
200,170,1581,408,2292,4451
201,65,2435,465,1408,4373
202,115,1876,898,1572,4461
203,130,2047,306,2049,4532
204,147,1697,687,1838,4369
205,72,2048,650,1529,4299
206,71,1374,764,2194,4403
207,89,2188,398,1687,4362
208,132,1947,361,1978,4418
209,92,1710,287,2237,4326
210,77,2193,312,1816,4398
211,77,2207,682,1347,4313
212,70,2082,678,1668,4498
213,121,2114,333,1827,4395
214,65,2194,302,1846,4407
215,72,1725,616,2055,4468
216,109,1526,16,1706,3357
217,63,2083,321,1990,4457
218,68,2306,294,1765,4433
219,98,2059,343,1951,4451
220,75,1485,637,2146,4343
221,79,1932,307,2078,4396
222,130,1844,409,1919,4302
223,81,2224,401,1655,4361
224,117,1865,262,2160,4404
225,95,2068,422,1696,4281
226,32,1697,2,1645,3376
227,185,1678,457,2131,4451
228,73,1801,589,1875,4338
229,34,1983,699,1623,4339
230,87,2262,573,1471,4393
231,63,2342,253,1860,4518
232,139,1859,642,1806,4446
233,82,2106,608,1594,4390
234,164,1654,735,1874,4427
235,80,1772,489,2008,4349
236,91,1290,666,2392,4439
237,147,2083,570,1670,4470
238,89,1771,366,2086,4312
239,95,1758,661,1971,4485
240,191,1868,407,1950,4416
241,48,2023,458,1842,4371
242,78,2285,421,1678,4462
243,94,1790,72,1450,3406
244,53,2441,343,1502,4339
245,115,1489,720,2036,4360
246,87,1976,452,1863,4378
247,60,1486,907,1870,4323
248,59,1688,451,2162,4360
249,108,2512,280,1511,4411
250,150,1766,434,2086,4436
251,58,1156,1224,1956,4394
252,62,1791,20,1520,3393
253,76,2015,463,1885,4439
254,98,2131,262,1895,4386
255,68,2468,446,1335,4317
256,87,1726,13,1575,3401
257,113,1960,632,1868,4573
258,96,1811,179,2226,4312
259,88,1996,260,2129,4473
260,79,2069,446,1742,4336
261,107,2141,596,1635,4479
262,68,2266,499,1492,4325
263,61,1442,923,1938,4364
264,94,1936,517,1955,4502
265,93,2336,203,1796,4428
266,92,1879,249,2065,4285
267,86,1576,7,1738,3407
268,61,2071,290,1932,4354
269,63,2229,528,1589,4409
270,86,2118,565,1695,4464
271,118,1904,537,1839,4398
272,87,1286,722,2344,4439
273,158,1709,325,2254,4446
274,89,2077,317,1960,4443
275,131,1846,22,1488,3487
276,80,1605,655,2013,4353
277,67,1822,436,2078,4403
278,43,1946,716,1772,4477
279,70,1897,32,1412,3411
280,165,1775,507,1783,4230
281,67,2443,151,1830,4491
282,80,2314,240,1689,4323
283,58,2150,219,1942,4369
284,94,2568,423,1392,4477
285,45,1977,444,1921,4387
286,122,1970,400,1908,4400
287,133,2120,351,1685,4289
288,72,1908,23,1421,3424
289,118,2077,425,1748,4368
290,5,700,325,1169,2199
291,72,1470,421,2442,4405
292,149,2602,206,1380,4337
293,79,1998,422,1892,4391
294,92,1674,512,2175,4453
295,127,1662,583,2000,4372
296,90,1573,478,2298,4439
297,118,1510,553,2255,4436
298,92,2231,44,1117,3484
299,104,1658,583,2100,4445
300,61,1552,14,1824,3451
301,116,1815,729,1655,4315
302,106,1971,322,2082,4481
303,88,2844,213,1293,4438
304,75,2375,222,1814,4486
305,46,2461,353,1655,4515
306,82,1814,796,1705,4397
307,70,1806,532,2049,4457
308,201,1750,11,1404,3366
309,75,1964,555,1797,4391
310,75,1734,491,2105,4405
311,156,1710,451,2121,4438
312,56,2175,428,1778,4437
313,64,2133,372,1862,4431
314,86,2576,214,1545,4421
315,53,2155,598,1649,4455
316,128,1654,541,2016,4339
317,75,1551,600,2196,4422
318,87,2322,674,1342,4425
319,103,1691,505,2020,4319
320,71,2189,339,1786,4385
321,101,1889,426,2041,4457
322,2,841,312,1075,2230
323,97,2079,379,1856,4411
324,85,1802,518,2014,4419
325,81,2015,391,1857,4344
326,133,1892,639,1798,4462
327,105,2157,409,1694,4365
328,86,1608,803,1813,4310
329,96,1609,543,2201,4449
330,72,1929,627,1855,4483
331,133,1822,413,2073,4441
332,147,1785,488,1996,4416
333,78,1820,331,2172,4401
334,62,2413,389,1583,4447
335,108,1612,378,2240,4338
336,63,1952,251,2013,4279
337,76,1911,533,1906,4426
338,119,1459,530,2300,4408
339,93,1882,441,2064,4480
340,77,2216,444,1732,4469
341,113,1803,302,2314,4532
342,85,1590,457,2263,4395
343,90,2205,278,1851,4424
344,74,1263,851,2183,4371
345,50,1761,516,2068,4395
346,134,2438,386,1476,4434
347,94,1963,295,2091,4443
348,42,1643,704,2047,4436
349,103,2313,508,1472,4396
350,142,2435,281,1425,4283
351,85,1560,344,2388,4377
352,84,1857,382,2077,4400
353,116,1959,372,2012,4459
354,116,2237,484,1600,4437
355,43,2423,276,1560,4302
356,97,1877,589,1805,4368
357,45,1515,1132,1744,4436
358,76,1898,8,1440,3422
359,82,1860,487,2058,4487
360,68,2176,444,1859,4547
361,119,1984,353,1857,4313
362,67,1988,436,1886,4377
363,45,2500,309,1481,4335
364,132,2349,379,1559,4419
365,117,2020,355,1940,4432
366,64,1464,647,2228,4403
367,108,1890,299,2226,4523
368,117,1833,466,1969,4385
369,111,1868,416,2019,4414
370,93,2650,227,1429,4399
371,93,1807,339,2213,4452
372,142,1880,412,1999,4433
373,123,2303,360,1603,4389
374,152,2045,382,1885,4464
375,71,1477,51,1753,3352
376,79,2103,446,1809,4437
377,101,1703,575,2074,4453
378,84,1406,895,1920,4305
379,87,1880,597,1788,4352
380,69,1627,291,2439,4426
381,156,1809,241,2186,4392
382,100,2147,369,1729,4345
383,159,2018,270,2002,4449
384,73,2363,356,1683,4475
385,160,1650,822,1715,4347
386,73,1632,463,2168,4336
387,50,1762,12,1458,3282
388,54,2095,358,1936,4443
389,88,2502,503,1457,4550
390,101,1645,588,1927,4261
391,79,1336,730,2285,4430
392,80,1718,718,1907,4423
393,97,1746,228,2330,4401
394,1,1073,257,823,2154
395,106,2299,431,1657,4493
396,44,1828,267,2147,4286
397,109,2860,442,1149,4560
398,112,1803,549,1991,4455
399,72,1572,845,1993,4482
400,85,1478,396,2329,4288
401,120,1599,996,1684,4399
402,95,1717,596,1943,4351
403,135,1447,255,2638,4475
404,113,2078,351,1847,4389
405,119,1714,688,1730,4251
406,124,2449,268,1585,4426
407,92,2463,344,1437,4336
408,68,1873,418,2042,4401
409,103,2300,430,1580,4413
410,82,1766,231,2402,4481
411,82,1832,453,1946,4313
412,86,2268,435,1556,4345
413,75,2458,310,1646,4489
414,122,1311,271,2660,4364
415,75,2205,369,1753,4402
416,61,2162,485,1717,4425
417,87,2718,218,1344,4367
418,84,1555,380,2485,4504
419,85,2418,636,1378,4517
420,3,650,338,1149,2140
421,120,1847,398,2050,4415
422,59,1673,301,2255,4288
423,76,1753,709,1942,4480
424,103,2052,495,1738,4388
425,54,1814,710,1894,4472
426,88,1834,566,1984,4472
427,165,2012,276,1940,4393
428,76,1667,668,1974,4385
429,101,2190,604,1508,4403
430,83,2009,288,1985,4365
431,112,2152,273,1865,4402
432,88,1727,311,2308,4434
433,95,2222,376,1735,4428
434,111,1913,657,1510,4191
435,69,2415,257,1687,4428
436,39,1421,745,2214,4419
437,93,2131,392,1801,4417
438,36,2699,359,1201,4295
439,141,1575,26,1701,3443
440,63,1589,790,2015,4457
441,87,1977,314,2061,4439
442,64,1840,59,1529,3492
443,54,2929,233,1267,4483
444,104,1835,315,2104,4358
445,85,1498,8,1779,3370
446,90,1997,557,1781,4425
447,204,1628,401,2157,4390
448,102,1922,442,1941,4407
449,26,2733,226,1512,4497
450,18,655,447,1070,2190
451,76,2172,464,1565,4277
452,71,1796,556,2082,4505
453,55,1846,357,2103,4361
454,101,2569,269,1492,4431
455,94,1609,620,2141,4464
456,57,2046,540,1843,4486
457,70,2481,313,1554,4418
458,69,2526,432,1354,4381
459,87,2218,477,1673,4455
460,113,1915,325,2153,4506
461,53,1734,695,1835,4317
462,69,2187,378,1770,4404
463,88,2095,460,1748,4391
464,105,2483,299,1445,4332
465,155,1560,691,1941,4347
466,142,1740,555,1977,4414
467,57,1721,433,2317,4528
468,111,1543,6,1710,3370
469,58,2254,459,1655,4426
470,53,1504,740,2057,4354
471,140,2194,618,1519,4471
472,74,1917,690,1708,4389
473,92,1925,557,1772,4346
474,118,1789,427,2003,4337
475,78,2232,369,1683,4362
476,149,1964,266,2002,4381
477,109,1887,582,1913,4491
478,76,1908,396,1978,4358
479,80,1781,579,1969,4409
480,134,2317,472,1671,4594
481,52,2387,565,1444,4448
482,51,2273,363,1652,4339
483,85,1745,337,2223,4390
484,74,1844,260,2203,4381
485,75,1886,787,1723,4471
486,45,1392,30,1964,3431
487,112,2020,387,1848,4367
488,160,1911,545,1766,4382
489,106,1759,540,2029,4434
490,95,1667,779,1940,4481
491,168,2251,214,1753,4386
492,86,1388,1091,1870,4435
493,148,1465,382,2395,4390
494,79,2278,233,1708,4298
495,122,1882,329,2064,4397
496,114,1934,467,1895,4410
497,78,1586,690,1995,4349
498,84,1435,457,2296,4272
499,124,2424,289,1587,4424
500,111,2115,347,1936,4509
501,63,1631,773,1935,4402
502,95,1477,585,2267,4424
503,81,2201,526,1574,4382
504,125,2095,308,1875,4403
505,60,1583,493,2245,4381
506,175,1706,666,1850,4397
507,64,1322,1110,1942,4438
508,93,2021,816,1525,4455
509,88,1446,683,2295,4512
510,76,2111,493,1757,4437
511,109,2470,250,1527,4356
512,78,2663,113,1621,4475
513,120,2232,224,1860,4436
514,147,1950,410,1864,4371
515,99,2223,22,1059,3403
516,103,2180,374,1775,4432
517,62,1925,979,1511,4477
518,35,1511,8,1906,3460
519,111,2153,410,1556,4230
520,85,1548,827,1817,4277
521,67,2194,530,1660,4451
522,99,1463,584,2258,4404
523,96,2118,284,1892,4390
524,89,1673,493,2186,4441
525,147,1789,18,1342,3296
526,104,1843,602,1828,4377
527,146,2305,390,1567,4408
528,71,1549,505,2238,4363
529,83,1932,365,2072,4452
530,85,2014,279,2065,4443
531,66,1857,435,2180,4538
532,66,1726,693,1804,4289
533,69,2227,306,1840,4442
534,94,1561,841,1944,4440
535,84,1854,638,1702,4278
536,102,1984,543,1839,4468
537,119,2246,397,1560,4322
538,121,1628,800,1902,4451
539,101,1683,581,2131,4496
540,75,1278,657,2413,4423
541,186,1903,318,1920,4327
542,95,2073,406,1849,4423
543,65,1983,532,1858,4438
544,114,1533,1067,1739,4453
545,137,1898,217,2168,4420
546,66,1990,468,1962,4486
547,74,1450,711,2037,4272
548,109,1912,224,2165,4410
549,70,2238,598,1474,4380
550,88,2221,382,1791,4482
551,76,1879,291,2099,4345
552,173,2184,315,1750,4422
553,90,2236,351,1733,4410
554,104,2510,200,1680,4494
555,56,2668,352,1354,4430
556,121,2188,451,1736,4496
557,98,1751,631,1798,4278
558,108,2340,501,1566,4515
559,69,2647,366,1420,4502
560,114,1947,484,1887,4432
561,111,1497,288,2500,4396
562,89,1501,311,2380,4281
563,193,1872,576,1778,4419
564,128,1504,1127,1584,4343
565,80,2487,367,1595,4529
566,164,1740,685,1907,4496
567,123,2281,263,1741,4408
568,85,1853,445,2053,4436
569,67,2468,330,1557,4422
570,156,1853,655,1658,4322
571,94,2008,336,1887,4325
572,92,1899,313,1954,4258
573,65,2580,207,1619,4471
574,72,1703,773,1891,4439
575,71,2331,278,1675,4355
576,57,2290,589,1503,4439
577,75,1606,30,1647,3358
578,68,1480,521,2397,4466
579,113,1955,336,2086,4490
580,64,2168,465,1650,4347
581,80,1877,421,1988,4366
582,96,2297,283,1602,4278
583,119,2071,584,1661,4435
584,102,1878,422,1984,4386
585,78,1840,585,1912,4415
586,130,1469,562,2209,4370
587,65,1877,852,1580,4374
588,62,2685,325,1439,4511
589,51,1933,375,2050,4409
590,77,2492,372,1414,4355
591,79,2052,446,1816,4393
592,72,1976,439,1995,4482
593,66,2099,451,1694,4310
594,89,2500,319,1509,4417
595,77,2148,445,1682,4352
596,74,2466,399,1462,4401
597,55,2126,485,1738,4404
598,99,1540,567,2232,4438
599,90,1619,391,2175,4275
600,119,1762,525,2100,4506
601,93,1872,379,2079,4423
602,47,2273,254,1866,4440
603,107,1344,790,2055,4296
604,135,1940,473,1780,4328
605,170,1950,354,1721,4195
606,101,2016,437,1893,4447
607,120,1943,402,1951,4416
608,134,2002,494,1688,4318
609,165,1653,667,1931,4416
610,128,2204,219,1853,4404
611,63,1881,23,1381,3348
612,75,1694,651,1967,4387
613,86,1740,439,2092,4357
614,59,2431,219,1850,4559
615,159,1130,877,2269,4435
616,82,2051,451,1922,4506
617,79,1844,6,1474,3403
618,59,2227,288,1691,4265
619,96,2075,600,1593,4364
620,50,1996,509,1805,4360
621,65,1772,267,2249,4353
622,81,1764,817,1703,4365
623,73,2458,497,1396,4424
624,117,1614,448,2058,4237
625,66,1697,541,2062,4366
626,155,2254,280,1779,4468
627,97,1760,293,2112,4262
628,107,1600,504,2167,4378
629,70,1889,529,1912,4400
630,49,2056,478,1798,4381
631,78,2133,410,1690,4311
632,127,2120,320,1816,4383
633,87,1526,694,2039,4346
634,119,1740,62,1390,3311
635,92,1687,878,1660,4317
636,64,2095,622,1684,4465
637,94,2110,391,1833,4428
638,105,1884,140,2235,4364
639,139,2103,483,1817,4542
640,106,1841,549,1869,4365
641,87,1494,422,2485,4488
642,125,2319,410,1597,4451
643,100,2273,447,1616,4436
644,48,2674,373,1352,4447
645,87,1902,442,1919,4350
646,65,2087,254,1980,4386
647,132,1667,81,1565,3445
648,98,1609,695,2024,4426
649,146,1466,342,2370,4324
650,130,2050,274,1858,4312
651,85,2476,349,1527,4437
652,45,2484,397,1549,4475
653,110,2118,213,1964,4405
654,145,1707,574,1998,4424
655,83,1821,685,1719,4308
656,73,2138,447,1680,4338
657,112,1555,925,1882,4474
658,144,2378,439,1404,4365
659,42,1863,497,2099,4501
660,58,1957,357,1962,4334
661,100,1509,505,2197,4311
662,114,2083,389,1860,4446
663,65,1975,480,1796,4316
664,115,2114,386,1756,4371
665,192,1690,278,2210,4370
666,53,2250,504,1581,4388
667,110,1252,905,2077,4344
668,113,1760,284,2279,4436
669,122,1682,720,1923,4447
670,84,1354,893,2054,4385
671,93,1897,190,2045,4225
672,111,2097,507,1748,4463
673,130,1848,568,1916,4462
674,76,1743,440,2085,4344
675,73,1843,220,2296,4432
676,99,1234,733,2354,4420
677,95,2255,558,1455,4363
678,77,1823,508,1999,4407
679,138,2356,294,1613,4401
680,129,2187,388,1743,4447
681,110,1709,652,1929,4400
682,155,1416,514,2320,4405
683,102,2231,527,1525,4385
684,116,2184,313,1744,4357
685,62,1526,871,1956,4415
686,57,1564,8,1769,3398
687,104,1963,274,2053,4394
688,51,2057,393,1901,4402
689,97,2054,501,1826,4478
