PassengerId,Survived,Pclass,Age,Gender,Fare
1,0,3,22,male,7.25
2,1,1,38,female,71.2833
3,1,3,26,female,7.925
4,1,1,35,female,53.1
5,0,3,35,male,8.05
6,0,3,,male,8.4583
7,0,1,54,male,51.8625
8,0,3,2,male,21.075
9,1,3,27,female,11.1333
10,1,2,14,female,30.0708
11,1,3,4,female,16.7
12,1,1,58,female,26.55
13,0,3,20,male,8.05
14,0,3,39,male,31.275
15,0,3,14,female,7.8542
16,1,2,55,female,16
17,0,3,2,male,29.125
18,1,2,,male,13
19,0,3,31,female,18
20,1,3,,female,7.225
21,0,2,35,male,26
22,1,2,34,male,13
23,1,3,15,female,8.0292
24,1,1,28,male,35.5
25,0,3,8,female,21.075
26,1,3,38,female,31.3875
27,0,3,,male,7.225
28,0,1,19,male,263
29,1,3,,female,7.8792
30,0,3,,male,7.8958
31,0,1,40,male,27.7208
32,1,1,,female,146.5208
33,1,3,,female,7.75
34,0,2,66,male,10.5
35,0,1,28,male,82.1708
36,0,1,42,male,52
37,1,3,,male,7.2292
38,0,3,21,male,8.05
39,0,3,18,female,18
40,1,3,14,female,11.2417
41,0,3,40,female,9.475
42,0,2,27,female,21
43,0,3,,male,7.8958
44,1,2,3,female,41.5792
45,1,3,19,female,7.8792
46,0,3,,male,8.05
47,0,3,,male,15.5
48,1,3,,female,7.75
49,0,3,,male,21.6792
50,0,3,18,female,17.8
51,0,3,7,male,39.6875
52,0,3,21,male,7.8
53,1,1,49,female,76.7292
54,1,2,29,female,26
55,0,1,65,male,61.9792
56,1,1,,male,35.5
57,1,2,21,female,10.5
58,0,3,28.5,male,7.2292
59,1,2,5,female,27.75
60,0,3,11,male,46.9
61,0,3,22,male,7.2292
62,1,1,38,female,80
63,0,1,45,male,83.475
64,0,3,4,male,27.9
65,0,1,,male,27.7208
66,1,3,,male,15.2458
67,1,2,29,female,10.5
68,0,3,19,male,8.1583
69,1,3,17,female,7.925
70,0,3,26,male,8.6625
71,0,2,32,male,10.5
72,0,3,16,female,46.9
73,0,2,21,male,73.5
74,0,3,26,male,14.4542
75,1,3,32,male,56.4958
76,0,3,25,male,7.65
77,0,3,,male,7.8958
78,0,3,,male,8.05
79,1,2,0.83,male,29
80,1,3,30,female,12.475
81,0,3,22,male,9
82,1,3,29,male,9.5
83,1,3,,female,7.7875
84,0,1,28,male,47.1
85,1,2,17,female,10.5
86,1,3,33,female,15.85
87,0,3,16,male,34.375
88,0,3,,male,8.05
89,1,1,23,female,263
90,0,3,24,male,8.05
91,0,3,29,male,8.05
92,0,3,20,male,7.8542
93,0,1,46,male,61.175
94,0,3,26,male,20.575
95,0,3,59,male,7.25
96,0,3,,male,8.05
97,0,1,71,male,34.6542
98,1,1,23,male,63.3583
99,1,2,34,female,23
100,0,2,34,male,26
101,0,3,28,female,7.8958
102,0,3,,male,7.8958
103,0,1,21,male,77.2875
104,0,3,33,male,8.6542
105,0,3,37,male,7.925
106,0,3,28,male,7.8958
107,1,3,21,female,7.65
108,1,3,,male,7.775
109,0,3,38,male,7.8958
110,1,3,,female,24.15
111,0,1,47,male,52
112,0,3,14.5,female,14.4542
113,0,3,22,male,8.05
114,0,3,20,female,9.825
115,0,3,17,female,14.4583
116,0,3,21,male,7.925
117,0,3,70.5,male,7.75
118,0,2,29,male,21
119,0,1,24,male,247.5208
120,0,3,2,female,31.275
121,0,2,21,male,73.5
122,0,3,,male,8.05
123,0,2,32.5,male,30.0708
124,1,2,32.5,female,13
125,0,1,54,male,77.2875
126,1,3,12,male,11.2417
127,0,3,,male,7.75
128,1,3,24,male,7.1417
129,1,3,,female,22.3583
130,0,3,45,male,6.975
131,0,3,33,male,7.8958
132,0,3,20,male,7.05
133,0,3,47,female,14.5
134,1,2,29,female,26
135,0,2,25,male,13
136,0,2,23,male,15.0458
137,1,1,19,female,26.2833
138,0,1,37,male,53.1
139,0,3,16,male,9.2167
140,0,1,24,male,79.2
141,0,3,,female,15.2458
142,1,3,22,female,7.75
143,1,3,24,female,15.85
144,0,3,19,male,6.75
145,0,2,18,male,11.5
146,0,2,19,male,36.75
147,1,3,27,male,7.7958
148,0,3,9,female,34.375
149,0,2,36.5,male,26
150,0,2,42,male,13
151,0,2,51,male,12.525
152,1,1,22,female,66.6
153,0,3,55.5,male,8.05
154,0,3,40.5,male,14.5
155,0,3,,male,7.3125
156,0,1,51,male,61.3792
157,1,3,16,female,7.7333
158,0,3,30,male,8.05
159,0,3,,male,8.6625
160,0,3,,male,69.55
161,0,3,44,male,16.1
162,1,2,40,female,15.75
163,0,3,26,male,7.775
164,0,3,17,male,8.6625
165,0,3,1,male,39.6875
166,1,3,9,male,20.525
167,1,1,,female,55
168,0,3,45,female,27.9
169,0,1,,male,25.925
170,0,3,28,male,56.4958
171,0,1,61,male,33.5
172,0,3,4,male,29.125
173,1,3,1,female,11.1333
174,0,3,21,male,7.925
175,0,1,56,male,30.6958
176,0,3,18,male,7.8542
177,0,3,,male,25.4667
178,0,1,50,female,28.7125
179,0,2,30,male,13
180,0,3,36,male,0
181,0,3,,female,69.55
182,0,2,,male,15.05
183,0,3,9,male,31.3875
184,1,2,1,male,39
185,1,3,4,female,22.025
186,0,1,,male,50
187,1,3,,female,15.5
188,1,1,45,male,26.55
189,0,3,40,male,15.5
190,0,3,36,male,7.8958
191,1,2,32,female,13
192,0,2,19,male,13
193,1,3,19,female,7.8542
194,1,2,3,male,26
195,1,1,44,female,27.7208
196,1,1,58,female,146.5208
197,0,3,,male,7.75
198,0,3,42,male,8.4042
199,1,3,,female,7.75
200,0,2,24,female,13
201,0,3,28,male,9.5
202,0,3,,male,69.55
203,0,3,34,male,6.4958
204,0,3,45.5,male,7.225
205,1,3,18,male,8.05
206,0,3,2,female,10.4625
207,0,3,32,male,15.85
208,1,3,26,male,18.7875
209,1,3,16,female,7.75
210,1,1,40,male,31
211,0,3,24,male,7.05
212,1,2,35,female,21
213,0,3,22,male,7.25
214,0,2,30,male,13
215,0,3,,male,7.75
216,1,1,31,female,113.275
217,1,3,27,female,7.925
218,0,2,42,male,27
219,1,1,32,female,76.2917
220,0,2,30,male,10.5
221,1,3,16,male,8.05
222,0,2,27,male,13
223,0,3,51,male,8.05
224,0,3,,male,7.8958
225,1,1,38,male,90
226,0,3,22,male,9.35
227,1,2,19,male,10.5
228,0,3,20.5,male,7.25
229,0,2,18,male,13
230,0,3,,female,25.4667
231,1,1,35,female,83.475
232,0,3,29,male,7.775
233,0,2,59,male,13.5
234,1,3,5,female,31.3875
235,0,2,24,male,10.5
236,0,3,,female,7.55
237,0,2,44,male,26
238,1,2,8,female,26.25
239,0,2,19,male,10.5
240,0,2,33,male,12.275
241,0,3,,female,14.4542
242,1,3,,female,15.5
243,0,2,29,male,10.5
244,0,3,22,male,7.125
245,0,3,30,male,7.225
246,0,1,44,male,90
247,0,3,25,female,7.775
248,1,2,24,female,14.5
249,1,1,37,male,52.5542
250,0,2,54,male,26
251,0,3,,male,7.25
252,0,3,29,female,10.4625
253,0,1,62,male,26.55
254,0,3,30,male,16.1
255,0,3,41,female,20.2125
256,1,3,29,female,15.2458
257,1,1,,female,79.2
258,1,1,30,female,86.5
259,1,1,35,female,512.3292
260,1,2,50,female,26
261,0,3,,male,7.75
262,1,3,3,male,31.3875
263,0,1,52,male,79.65
264,0,1,40,male,0
265,0,3,,female,7.75
266,0,2,36,male,10.5
267,0,3,16,male,39.6875
268,1,3,25,male,7.775
269,1,1,58,female,153.4625
270,1,1,35,female,135.6333
271,0,1,,male,31
272,1,3,25,male,0
273,1,2,41,female,19.5
274,0,1,37,male,29.7
275,1,3,,female,7.75
276,1,1,63,female,77.9583
277,0,3,45,female,7.75
278,0,2,,male,0
279,0,3,7,male,29.125
280,1,3,35,female,20.25
281,0,3,65,male,7.75
282,0,3,28,male,7.8542
283,0,3,16,male,9.5
284,1,3,19,male,8.05
285,0,1,,male,26
286,0,3,33,male,8.6625
287,1,3,30,male,9.5
288,0,3,22,male,7.8958
289,1,2,42,male,13
290,1,3,22,female,7.75
291,1,1,26,female,78.85
292,1,1,19,female,91.0792
293,0,2,36,male,12.875
294,0,3,24,female,8.85
295,0,3,24,male,7.8958
296,0,1,,male,27.7208
297,0,3,23.5,male,7.2292
298,0,1,2,female,151.55
299,1,1,,male,30.5
300,1,1,50,female,247.5208
301,1,3,,female,7.75
302,1,3,,male,23.25
303,0,3,19,male,0
304,1,2,,female,12.35
305,0,3,,male,8.05
306,1,1,0.92,male,151.55
307,1,1,,female,110.8833
308,1,1,17,female,108.9
309,0,2,30,male,24
310,1,1,30,female,56.9292
311,1,1,24,female,83.1583
312,1,1,18,female,262.375
313,0,2,26,female,26
314,0,3,28,male,7.8958
315,0,2,43,male,26.25
316,1,3,26,female,7.8542
317,1,2,24,female,26
318,0,2,54,male,14
319,1,1,31,female,164.8667
320,1,1,40,female,134.5
321,0,3,22,male,7.25
322,0,3,27,male,7.8958
323,1,2,30,female,12.35
324,1,2,22,female,29
325,0,3,,male,69.55
326,1,1,36,female,135.6333
327,0,3,61,male,6.2375
328,1,2,36,female,13
329,1,3,31,female,20.525
330,1,1,16,female,57.9792
331,1,3,,female,23.25
332,0,1,45.5,male,28.5
333,0,1,38,male,153.4625
334,0,3,16,male,18
335,1,1,,female,133.65
336,0,3,,male,7.8958
337,0,1,29,male,66.6
338,1,1,41,female,134.5
339,1,3,45,male,8.05
340,0,1,45,male,35.5
341,1,2,2,male,26
342,1,1,24,female,263
343,0,2,28,male,13
344,0,2,25,male,13
345,0,2,36,male,13
346,1,2,24,female,13
347,1,2,40,female,13
348,1,3,,female,16.1
349,1,3,3,male,15.9
350,0,3,42,male,8.6625
351,0,3,23,male,9.225
352,0,1,,male,35
353,0,3,15,male,7.2292
354,0,3,25,male,17.8
355,0,3,,male,7.225
356,0,3,28,male,9.5
357,1,1,22,female,55
358,0,2,38,female,13
359,1,3,,female,7.8792
360,1,3,,female,7.8792
361,0,3,40,male,27.9
362,0,2,29,male,27.7208
363,0,3,45,female,14.4542
364,0,3,35,male,7.05
365,0,3,,male,15.5
366,0,3,30,male,7.25
367,1,1,60,female,75.25
368,1,3,,female,7.2292
369,1,3,,female,7.75
370,1,1,24,female,69.3
371,1,1,25,male,55.4417
372,0,3,18,male,6.4958
373,0,3,19,male,8.05
374,0,1,22,male,135.6333
375,0,3,3,female,21.075
376,1,1,,female,82.1708
377,1,3,22,female,7.25
378,0,1,27,male,211.5
379,0,3,20,male,4.0125
380,0,3,19,male,7.775
381,1,1,42,female,227.525
382,1,3,1,female,15.7417
383,0,3,32,male,7.925
384,1,1,35,female,52
385,0,3,,male,7.8958
386,0,2,18,male,73.5
387,0,3,1,male,46.9
388,1,2,36,female,13
389,0,3,,male,7.7292
390,1,2,17,female,12
391,1,1,36,male,120
392,1,3,21,male,7.7958
393,0,3,28,male,7.925
394,1,1,23,female,113.275
395,1,3,24,female,16.7
396,0,3,22,male,7.7958
397,0,3,31,female,7.8542
398,0,2,46,male,26
399,0,2,23,male,10.5
400,1,2,28,female,12.65
401,1,3,39,male,7.925
402,0,3,26,male,8.05
403,0,3,21,female,9.825
404,0,3,28,male,15.85
405,0,3,20,female,8.6625
406,0,2,34,male,21
407,0,3,51,male,7.75
408,1,2,3,male,18.75
409,0,3,21,male,7.775
410,0,3,,female,25.4667
411,0,3,,male,7.8958
412,0,3,,male,6.8583
413,1,1,33,female,90
414,0,2,,male,0
415,1,3,44,male,7.925
416,0,3,,female,8.05
417,1,2,34,female,32.5
418,1,2,18,female,13
419,0,2,30,male,13
420,0,3,10,female,24.15
421,0,3,,male,7.8958
422,0,3,21,male,7.7333
423,0,3,29,male,7.875
424,0,3,28,female,14.4
425,0,3,18,male,20.2125
426,0,3,,male,7.25
427,1,2,28,female,26
428,1,2,19,female,26
429,0,3,,male,7.75
430,1,3,32,male,8.05
431,1,1,28,male,26.55
432,1,3,,female,16.1
433,1,2,42,female,26
434,0,3,17,male,7.125
435,0,1,50,male,55.9
436,1,1,14,female,120
437,0,3,21,female,34.375
438,1,2,24,female,18.75
439,0,1,64,male,263
440,0,2,31,male,10.5
441,1,2,45,female,26.25
442,0,3,20,male,9.5
443,0,3,25,male,7.775
444,1,2,28,female,13
445,1,3,,male,8.1125
446,1,1,4,male,81.8583
447,1,2,13,female,19.5
448,1,1,34,male,26.55
449,1,3,5,female,19.2583
450,1,1,52,male,30.5
451,0,2,36,male,27.75
452,0,3,,male,19.9667
453,0,1,30,male,27.75
454,1,1,49,male,89.1042
455,0,3,,male,8.05
456,1,3,29,male,7.8958
457,0,1,65,male,26.55
458,1,1,,female,51.8625
459,1,2,50,female,10.5
460,0,3,,male,7.75
461,1,1,48,male,26.55
462,0,3,34,male,8.05
463,0,1,47,male,38.5
464,0,2,48,male,13
465,0,3,,male,8.05
466,0,3,38,male,7.05
467,0,2,,male,0
468,0,1,56,male,26.55
469,0,3,,male,7.725
470,1,3,0.75,female,19.2583
471,0,3,,male,7.25
472,0,3,38,male,8.6625
473,1,2,33,female,27.75
474,1,2,23,female,13.7917
475,0,3,22,female,9.8375
476,0,1,,male,52
477,0,2,34,male,21
478,0,3,29,male,7.0458
479,0,3,22,male,7.5208
480,1,3,2,female,12.2875
481,0,3,9,male,46.9
482,0,2,,male,0
483,0,3,50,male,8.05
484,1,3,63,female,9.5875
485,1,1,25,male,91.0792
486,0,3,,female,25.4667
487,1,1,35,female,90
488,0,1,58,male,29.7
489,0,3,30,male,8.05
490,1,3,9,male,15.9
491,0,3,,male,19.9667
492,0,3,21,male,7.25
493,0,1,55,male,30.5
494,0,1,71,male,49.5042
495,0,3,21,male,8.05
496,0,3,,male,14.4583
497,1,1,54,female,78.2667
498,0,3,,male,15.1
499,0,1,25,female,151.55
500,0,3,24,male,7.7958
501,0,3,17,male,8.6625
502,0,3,21,female,7.75
503,0,3,,female,7.6292
504,0,3,37,female,9.5875
505,1,1,16,female,86.5
506,0,1,18,male,108.9
507,1,2,33,female,26
508,1,1,,male,26.55
509,0,3,28,male,22.525
510,1,3,26,male,56.4958
511,1,3,29,male,7.75
512,0,3,,male,8.05
513,1,1,36,male,26.2875
514,1,1,54,female,59.4
515,0,3,24,male,7.4958
516,0,1,47,male,34.0208
517,1,2,34,female,10.5
518,0,3,,male,24.15
519,1,2,36,female,26
520,0,3,32,male,7.8958
521,1,1,30,female,93.5
522,0,3,22,male,7.8958
523,0,3,,male,7.225
524,1,1,44,female,57.9792
525,0,3,,male,7.2292
526,0,3,40.5,male,7.75
527,1,2,50,female,10.5
528,0,1,,male,221.7792
529,0,3,39,male,7.925
530,0,2,23,male,11.5
531,1,2,2,female,26
532,0,3,,male,7.2292
533,0,3,17,male,7.2292
534,1,3,,female,22.3583
535,0,3,30,female,8.6625
536,1,2,7,female,26.25
537,0,1,45,male,26.55
538,1,1,30,female,106.425
539,0,3,,male,14.5
540,1,1,22,female,49.5
541,1,1,36,female,71
542,0,3,9,female,31.275
543,0,3,11,female,31.275
544,1,2,32,male,26
545,0,1,50,male,106.425
546,0,1,64,male,26
547,1,2,19,female,26
548,1,2,,male,13.8625
549,0,3,33,male,20.525
550,1,2,8,male,36.75
551,1,1,17,male,110.8833
552,0,2,27,male,26
553,0,3,,male,7.8292
554,1,3,22,male,7.225
555,1,3,22,female,7.775
556,0,1,62,male,26.55
557,1,1,48,female,39.6
558,0,1,,male,227.525
559,1,1,39,female,79.65
560,1,3,36,female,17.4
561,0,3,,male,7.75
562,0,3,40,male,7.8958
563,0,2,28,male,13.5
564,0,3,,male,8.05
565,0,3,,female,8.05
566,0,3,24,male,24.15
567,0,3,19,male,7.8958
568,0,3,29,female,21.075
569,0,3,,male,7.2292
570,1,3,32,male,7.8542
571,1,2,62,male,10.5
572,1,1,53,female,51.4792
573,1,1,36,male,26.3875
574,1,3,,female,7.75
575,0,3,16,male,8.05
576,0,3,19,male,14.5
577,1,2,34,female,13
578,1,1,39,female,55.9
579,0,3,,female,14.4583
580,1,3,32,male,7.925
581,1,2,25,female,30
582,1,1,39,female,110.8833
583,0,2,54,male,26
584,0,1,36,male,40.125
585,0,3,,male,8.7125
586,1,1,18,female,79.65
587,0,2,47,male,15
588,1,1,60,male,79.2
589,0,3,22,male,8.05
590,0,3,,male,8.05
591,0,3,35,male,7.125
592,1,1,52,female,78.2667
593,0,3,47,male,7.25
594,0,3,,female,7.75
595,0,2,37,male,26
596,0,3,36,male,24.15
597,1,2,,female,33
598,0,3,49,male,0
599,0,3,,male,7.225
600,1,1,49,male,56.9292
601,1,2,24,female,27
602,0,3,,male,7.8958
603,0,1,,male,42.4
604,0,3,44,male,8.05
605,1,1,35,male,26.55
606,0,3,36,male,15.55
607,0,3,30,male,7.8958
608,1,1,27,male,30.5
609,1,2,22,female,41.5792
610,1,1,40,female,153.4625
611,0,3,39,female,31.275
612,0,3,,male,7.05
613,1,3,,female,15.5
614,0,3,,male,7.75
615,0,3,35,male,8.05
616,1,2,24,female,65
617,0,3,34,male,14.4
618,0,3,26,female,16.1
619,1,2,4,female,39
620,0,2,26,male,10.5
621,0,3,27,male,14.4542
622,1,1,42,male,52.5542
623,1,3,20,male,15.7417
624,0,3,21,male,7.8542
625,0,3,21,male,16.1
626,0,1,61,male,32.3208
627,0,2,57,male,12.35
628,1,1,21,female,77.9583
629,0,3,26,male,7.8958
630,0,3,,male,7.7333
631,1,1,80,male,30
632,0,3,51,male,7.0542
633,1,1,32,male,30.5
634,0,1,,male,0
635,0,3,9,female,27.9
636,1,2,28,female,13
637,0,3,32,male,7.925
638,0,2,31,male,26.25
639,0,3,41,female,39.6875
640,0,3,,male,16.1
641,0,3,20,male,7.8542
642,1,1,24,female,69.3
643,0,3,2,female,27.9
644,1,3,,male,56.4958
645,1,3,0.75,female,19.2583
646,1,1,48,male,76.7292
647,0,3,19,male,7.8958
648,1,1,56,male,35.5
649,0,3,,male,7.55
650,1,3,23,female,7.55
651,0,3,,male,7.8958
652,1,2,18,female,23
653,0,3,21,male,8.4333
654,1,3,,female,7.8292
655,0,3,18,female,6.75
656,0,2,24,male,73.5
657,0,3,,male,7.8958
658,0,3,32,female,15.5
659,0,2,23,male,13
660,0,1,58,male,113.275
661,1,1,50,male,133.65
662,0,3,40,male,7.225
663,0,1,47,male,25.5875
664,0,3,36,male,7.4958
665,1,3,20,male,7.925
666,0,2,32,male,73.5
667,0,2,25,male,13
668,0,3,,male,7.775
669,0,3,43,male,8.05
670,1,1,,female,52
671,1,2,40,female,39
672,0,1,31,male,52
673,0,2,70,male,10.5
674,1,2,31,male,13
675,0,2,,male,0
676,0,3,18,male,7.775
677,0,3,24.5,male,8.05
678,1,3,18,female,9.8417
679,0,3,43,female,46.9
680,1,1,36,male,512.3292
681,0,3,,female,8.1375
682,1,1,27,male,76.7292
683,0,3,20,male,9.225
684,0,3,14,male,46.9
685,0,2,60,male,39
686,0,2,25,male,41.5792
687,0,3,14,male,39.6875
688,0,3,19,male,10.1708
689,0,3,18,male,7.7958
690,1,1,15,female,211.3375
691,1,1,31,male,57
692,1,3,4,female,13.4167
693,1,3,,male,56.4958
694,0,3,25,male,7.225
695,0,1,60,male,26.55
696,0,2,52,male,13.5
697,0,3,44,male,8.05
698,1,3,,female,7.7333
699,0,1,49,male,110.8833
700,0,3,42,male,7.65
701,1,1,18,female,227.525
702,1,1,35,male,26.2875
703,0,3,18,female,14.4542
704,0,3,25,male,7.7417
705,0,3,26,male,7.8542
706,0,2,39,male,26
707,1,2,45,female,13.5
708,1,1,42,male,26.2875
709,1,1,22,female,151.55
710,1,3,,male,15.2458
711,1,1,24,female,49.5042
712,0,1,,male,26.55
713,1,1,48,male,52
714,0,3,29,male,9.4833
715,0,2,52,male,13
716,0,3,19,male,7.65
717,1,1,38,female,227.525
718,1,2,27,female,10.5
719,0,3,,male,15.5
720,0,3,33,male,7.775
721,1,2,6,female,33
722,0,3,17,male,7.0542
723,0,2,34,male,13
724,0,2,50,male,13
725,1,1,27,male,53.1
726,0,3,20,male,8.6625
727,1,2,30,female,21
728,1,3,,female,7.7375
729,0,2,25,male,26
730,0,3,25,female,7.925
731,1,1,29,female,211.3375
732,0,3,11,male,18.7875
733,0,2,,male,0
734,0,2,23,male,13
735,0,2,23,male,13
736,0,3,28.5,male,16.1
737,0,3,48,female,34.375
738,1,1,35,male,512.3292
739,0,3,,male,7.8958
740,0,3,,male,7.8958
741,1,1,,male,30
742,0,1,36,male,78.85
743,1,1,21,female,262.375
744,0,3,24,male,16.1
745,1,3,31,male,7.925
746,0,1,70,male,71
747,0,3,16,male,20.25
748,1,2,30,female,13
749,0,1,19,male,53.1
750,0,3,31,male,7.75
751,1,2,4,female,23
752,1,3,6,male,12.475
753,0,3,33,male,9.5
754,0,3,23,male,7.8958
755,1,2,48,female,65
756,1,2,0.67,male,14.5
757,0,3,28,male,7.7958
758,0,2,18,male,11.5
759,0,3,34,male,8.05
760,1,1,33,female,86.5
761,0,3,,male,14.5
762,0,3,41,male,7.125
763,1,3,20,male,7.2292
764,1,1,36,female,120
765,0,3,16,male,7.775
766,1,1,51,female,77.9583
767,0,1,,male,39.6
768,0,3,30.5,female,7.75
769,0,3,,male,24.15
770,0,3,32,male,8.3625
771,0,3,24,male,9.5
772,0,3,48,male,7.8542
773,0,2,57,female,10.5
774,0,3,,male,7.225
775,1,2,54,female,23
776,0,3,18,male,7.75
777,0,3,,male,7.75
778,1,3,5,female,12.475
779,0,3,,male,7.7375
780,1,1,43,female,211.3375
781,1,3,13,female,7.2292
782,1,1,17,female,57
783,0,1,29,male,30
784,0,3,,male,23.45
785,0,3,25,male,7.05
786,0,3,25,male,7.25
787,1,3,18,female,7.4958
788,0,3,8,male,29.125
789,1,3,1,male,20.575
790,0,1,46,male,79.2
791,0,3,,male,7.75
792,0,2,16,male,26
793,0,3,,female,69.55
794,0,1,,male,30.6958
795,0,3,25,male,7.8958
796,0,2,39,male,13
797,1,1,49,female,25.9292
798,1,3,31,female,8.6833
799,0,3,30,male,7.2292
800,0,3,30,female,24.15
801,0,2,34,male,13
802,1,2,31,female,26.25
803,1,1,11,male,120
804,1,3,0.42,male,8.5167
805,1,3,27,male,6.975
806,0,3,31,male,7.775
807,0,1,39,male,0
808,0,3,18,female,7.775
809,0,2,39,male,13
810,1,1,33,female,53.1
811,0,3,26,male,7.8875
812,0,3,39,male,24.15
813,0,2,35,male,10.5
814,0,3,6,female,31.275
815,0,3,30.5,male,8.05
816,0,1,,male,0
817,0,3,23,female,7.925
818,0,2,31,male,37.0042
819,0,3,43,male,6.45
820,0,3,10,male,27.9
821,1,1,52,female,93.5
822,1,3,27,male,8.6625
823,0,1,38,male,0
824,1,3,27,female,12.475
825,0,3,2,male,39.6875
826,0,3,,male,6.95
827,0,3,,male,56.4958
828,1,2,1,male,37.0042
829,1,3,,male,7.75
830,1,1,62,female,80
831,1,3,15,female,14.4542
832,1,2,0.83,male,18.75
833,0,3,,male,7.2292
834,0,3,23,male,7.8542
835,0,3,18,male,8.3
836,1,1,39,female,83.1583
837,0,3,21,male,8.6625
838,0,3,,male,8.05
839,1,3,32,male,56.4958
840,1,1,,male,29.7
841,0,3,20,male,7.925
842,0,2,16,male,10.5
843,1,1,30,female,31
844,0,3,34.5,male,6.4375
845,0,3,17,male,8.6625
846,0,3,42,male,7.55
847,0,3,,male,69.55
848,0,3,35,male,7.8958
849,0,2,28,male,33
850,1,1,,female,89.1042
851,0,3,4,male,31.275
852,0,3,74,male,7.775
853,0,3,9,female,15.2458
854,1,1,16,female,39.4
855,0,2,44,female,26
856,1,3,18,female,9.35
857,1,1,45,female,164.8667
858,1,1,51,male,26.55
859,1,3,24,female,19.2583
860,0,3,,male,7.2292
861,0,3,41,male,14.1083
862,0,2,21,male,11.5
863,1,1,48,female,25.9292
864,0,3,,female,69.55
865,0,2,24,male,13
866,1,2,42,female,13
867,1,2,27,female,13.8583
868,0,1,31,male,50.4958
869,0,3,,male,9.5
870,1,3,4,male,11.1333
871,0,3,26,male,7.8958
872,1,1,47,female,52.5542
873,0,1,33,male,5
874,0,3,47,male,9
875,1,2,28,female,24
876,1,3,15,female,7.225
877,0,3,20,male,9.8458
878,0,3,19,male,7.8958
879,0,3,,male,7.8958
880,1,1,56,female,83.1583
881,1,2,25,female,26
882,0,3,33,male,7.8958
883,0,3,22,female,10.5167
884,0,2,28,male,10.5
885,0,3,25,male,7.05
886,0,3,39,female,29.125
887,0,2,27,male,13
888,1,1,19,female,30
889,0,3,,female,23.45
890,1,1,26,male,30
891,0,3,32,male,7.75
